-18.21,0
-14,0.667
-10,0.12
-5,3.031
0,6.119
5,12.134
10,18.408
15,23.522
20,30.249
25,37.653
35,51.39
45,66.745
55,81.23
65,95.725
75,106.766
85,121.984
95,133.492
105,142.443
110,146.276
115,148.817
120,152.85
-18.21,0
-14,0.544
-10,0.269
-5,2.144
0,5.788
5,11.801
10,18.168
15,23.703
20,30.197
25,37.653
35,51.201
45,66.745
55,80.493
65,95.678
75,105.66
85,120.872
95,132.874
105,141.619
110,145.96
115,147.831
120,152.533
